,DOCS
36630,perdido Correios
36633,Recomendo vendedor
36635,Produto chegou prazo ótima compra
36637,N tenho uque opinar
36638,muito rápido entrega
36639,cancelei pedido entrega não sei vendedor Correios Quero saber como devolvido valor
36641,muito bom
36644,Fiz Janeiro compra Kit Pendentes Tom Dixon Acabamento Madeira Branco previsão entrega hoje até agora não entregue Quero posicionamento
36645,Encomendei kit bolsa maternidade filho produto entregue antes prazo Além veio produto pedi lindo bem embalado Amei comprar baratheon
36647,Deram prazo agora
36650,produto veio certinho
36658,Seriedade palavra define lannister comprei
36660,Adorei produto Entregue antes prazo Satisfeita compra
36668,Produto defeito desejo troca
36671,Só cor veio diferente material ótimo fofinho ideal transporte notebook Gostei bastante
36672,Comprei antenas chegou apenas nota fiscal constem Espero solução quanto antes
36680,produto chegou intacto dentro previsto Muito satisfeita compra
36681,criticas
36682,comprei produtos cancelaram avisar
36683,Entregou antes esperado Ótimo site
36685,Recomendo
36688,Até agora não recebi produto já enviei email cobrando atualização ninguem entra contato Lojas lannister comprei produto vendedor parceiro targaryen
36691,Dei presenteestá c produto
36692,PRODUTO LACRADO CHEGOU ANTES PRAZO
36694,Super pratico
36696,Entrega rápida produto lindo
36698,bom
36703,Recomendo loja bem atendido
36705,Gostei produto
36707,não receci capa celular celular
36711,pedí tamanho quantidade veio diferente Agora tenho fazer devolução aguardar mais tempo receber encomenda Mais semana
36713,Só chegou panos prato
36715,comprei produto logo seguida fiz nova comprapedido n02650084157so ainda não recebi gostaria desisti comprao faço
36720,lannister targaryen nao comlrometeem entrega correio fez diz ter feito dhas tentativas mesmo tenha feito terceira munca aconteceu
36721,Recebi produto so comprei produto também rastreie código vi correio penha aguardando retirada errado paguei frete aguardo mns
36723,Produto bom nao tenho reclamar entrega antes prazo
36727,Recebi produto cheio defeitos Já solicitei devolução dinheiro aguardando retorno
36732,Nao recebi produto até agora
36735,relação entrega ocorreu ainda preciso dias dizer realmente efeito positivo
36738,Entrega super rápida antes anunciado
36739,PRODUTO DE BOA QUALIDADE ENTREGA DENTRO PRAZO
36740,esperando produto chegar dia pedidos lannister como produto falta recebi email dizendo produto entregue Espero resolvam logo
36746,dar presente então ainda não sei saboroso Espero pessoa goste
36747,rastreamento aparece numeração irregular já compro anos endereço lannister nunca aconteceu Agora quero saber como faço receber produto
36753,Ótimo produto ótima loja
36758,Gostei muito produtosuper recomendo
36760,nota
36764,Produto defeito
36765,produto ainda não chegou entrei contato central não souberam responder produto não chegou
36766,Bo
36769,Produto bom material
36777,perfeito Entrega semanas antes prazo final
36779,correios informado produto ainda cidade esperando entrega já passou prazo precisando urgência ecomenda compras paga
36780,Recebi dentro prazo
36784,Comprei Kits apenas veio completo kit veio apenas tinta preta
36785,Ótimo atendimento
36786,Não recebi não quero produto
36790,Produdo chegou antes previsto Nota
36791,Nota prazo entrega nota qualidade tintas
36792,Produto parece bom não usei ainda
36794,Td Apesar problemas correios
36795,loja maravilhora reclamação produto deixou desejar muito fraco material acabamentos não recomendo produto
36797,Bom
36800,Comprei pensando vir conforme foto vel branco parte baixo bege veio bege
36802,Produto prazo largo entrega ainda assim dias prazo previsto não entregaram há informação encontra conforme informação rastreamento
36805,Recomendo
36807,Recebi produto como anunciado fotos antes prazo entrega Recomendo
36810,Otima qualidade entrega antes esperado recomendo
36813,Excelente serviço
36819,RECOMENDO
36820,satisfeito compra empresa séria respeita consumidor
36821,Bandeja não estável presa apenas único eixo central gira mínimo esforço Elementos fixação plástico Parafusos porcas difícil aperto Falta manual Mal embalado
36824,entrega rápida produto veio forma correta
36826,adorei gracinha doida p chegaré produto otima qualidade
36827,sempre eficácia entrega não tem disseram Então parabéns
36828,produto chegou super rápido Antes esperava certinho brinde Recomendo
36829,entrega atrasou penso culpa Correios Não sei
36831,Ainda não abri conferir irei dar presente acredito correto Chegou bem antes prazo Super recomendo
36833,Olha recebi prazo veio perfeito gostei muito recomendo loja sim parabéns obrigado
36834,Poderia ter chegado mais rápido
36836,Apesar atrasoRecomendo
36837,Nao informada tentativa entrega produto retornou remetente lannistercom não tinha noção acontecido Busquei informações correios
36841,Parabéns entregue antes data prevista
36843,comprei produto chegou amassado destruido decepcionado lannister nao imaginava tanto desprezo cliente
36844,amo lannister
36847,manda relógio Oakley tank falsotentei entrar contato empresa não obtive sucesso
36848,Excelente amei
36850,comprei capacete Taurus zareef v3 branco número mandaram kit pistão cg erro grosseiro parte loja espero resolvam logo problema capacete presente
36852,gosto muito comprar lojas lannister ainda n recebi produto acima aguardo retorno grata
36855,Pincéis perfeitos superaram expectativas
36856,Ótima comprafoi rápida dia entrega correta Parabéns
36858,rapidez entregaótimo
36859,FOI MUITO BOM COMPRA COM VCSFIQUEI MUITO SATISFEITO COM AGILIDADE ENTREGA ATENDIMENTO OBRIGADO
36860,não recebi peoduto
36863,Excelente atendimento respeito prazo
36865,Péssimo pedi produto ja paguei dizia chegar dia não chegou produto ainda disse indisponível
36866,Produto não entregue apesar status contrário
36867,PRODUTO AINDA NÃO FOI ENTREGUESEGUNDO NOTANÃO TEM PRODUTO DISPONÍVEL PRA ENTREGA DEVERIAM PRESTAR MAIS ATENÇÃO QUANDO OFERECEM PRODUTO PRA VENDAESTOU MUITOOO DESCONTENTE
36868,Recebi produto errado Não aceitaram troca produto correto Comprei lannister responsabilidade Quero dinheiro volta imediato
36872,pessoal nota comprei errado
36875,Gostei seAinda loja Amricanamuito bomObrigado
36876,Chegou prazo caixa muito bonita peca pouco acabamento
36877,emborrachamento acabamento ótimos película boa precisa experiência tirar bolhas ar
36879,muito bom produto entrega muito rápida
36882,entregas baratheon hoje demoram muito mais anos atrás
36889,Não sei informar presente
36891,Produto chegou perfeitas condições
36895,Veio primeiro forma prazo datadas dias reclamação mandaram Então não existe coerencia propaganda Prefiro comprar shopping time
36900,Chegou antes prazo
36904,sempre comprei site chegou corretamenteapenas ultima compra tive problemas entrega produtosque não chegou
36905,Ainda não recebi produto não dá avaliar
36908,bom
36909,Produto não entregue data combinado
36910,não gosta plastico compre bem bonitinho só achei caro desenhos não bem coloridos não compraria novamente Porem cozinha ficou bem bonitinha
36912,Só recebi jogo toalhas vermelhas
36914,Acredito problema correios fornecedor não entra contato resolver questão
36916,gosto muito comprar praticidade fidelidade cartão desconto
36917,Muito satisfeito
36918,Produto chegou antes prazo cumpre bem função
36919,Parabéns cumprir praso
36922,ótimo muito bem embalado
36931,Nota entrega rápida produto gostei
36932,Produto muito bom
36935,Chego muito rápido recomendo
36937,Recebi produto dias como esperado Muito satisfeita loja
36939,Até momento não recebi produto
36940,reclamações
36944,Não entraram contato apenas cancelaram pedido
36945,Entrega rápida conformes Ágil
36947,panelas sao bonitas mesma cor foto porem achei pequenas sa boas
36950,Ainda não testei produto chegou dentro prazo
36951,Bom
36956,Muito bom
36961,surpreendeu entrega muito rapida parabéns
36965,Cartucho funcionando bem cores firmes ja comprei lojas acabei perdendo dinheiro
36967,Bom serviço entrega
36970,produto entregue antes prazo previsto
36972,ENTREGARAM COQUETELEIRA DIFERENTE ANUNCIO SUJA EMPOEIRADA VAZA MONTE DE WHEY MISTURA
36977,Amei
36978,Loja muito boa entrega prazo produto chegou antes prazo
36979,Ótima compra até entrega super rápida consegue acompanhar
36982,Não recebi tapete marcando como entregue
36983,Dessa vez ainda não recebi pedido muito demorado mais mês aguardando
36989,Realmente kit muito bonito acabamento pincéis parece muito bom Super satisfeita
36993,Loja demorou tempo inaceitável sequer postar produto
36995,Previsão dia hoje ainda não recebi produto
36999,Igualzinho pedi Lindo
37002,muito bom chegou antes prazo previsto
37009,Produto codigo correto impressora não reconhece toner
37011,Não recebi produto Perdi confiança compras lannister vejo parceiros não confiáveis
37013,
37014,Top rápido
37015,Gostei muito
37016,Deveriam abrir mais opções rastreamento só informado prazo entrega não tem como saber compra entrega antes previsto
37019,Gostei produto fica casando água tive ñ ficava casando
37021,Nota lannister targaryen
37023,sempre comprei lannistercom nunca tive problema entrega informações compra etc nota
37026,pedido veio incompleto Ficou faltando item
37032,Produto excelente qualidade Compra chegou data prevista
37033,produto não entregue devo proceder
37034,Produto entregue prazo muito bom
37037,produto veio frascos elementos químicos vazios Não sei vazou armazenamento transporte
37041,Sempre compro lannister
37043,fácil usar preciso apenas bateria bem diferente reposição deve difícil
37045,otimo
37046,Entregaram capas travesseiros não pedido Edigley Ferreira
37050,Legal
37056,Recebido prazo bom estado ótima compra
37059,Chegou bem antes prazo ótimo produto
37060,Chegou perfeito estado antes prazo
37062,loja rápida produto chegou prazo Demonstrou seriedade atendimento
37065,Parabens superou expectativas
37066,Ainda não recebi produto
37075,site lannister ainda constavque produto transportadora
37076,Cancelei produto já fez dias ainda não recebi dinheiro voltaainda esperando dinheiro caí conta como combinado loja
37077,satisfeito
37078,Ótima qualidade maior esperava muito macio Entrega rápida Recomendo
37082,Difícil comunicação
37086,produto chegou bem antes data prevista bem organizador excelente muito espaçoso comporta muito bem brinquedosAdorei
37089,tentando ver parceiros stark continuem compromissos clientes pontualidade
37092,
37093,Chegou relativamente rápido antes prazo previsto produto lindo condizente foto veio perfeito estado muito bem embalado Parabéns cuidado carinho cliente
37094,Ótimo produto
37099,Chegou rapido tem otima qualidade
37100,Satisfeito
37101,Chegou antes prazo estipulado bem embalado
37102,prazo entrega dias úteis chegou dias Muito bom
37104,atendeu expectativas
37105,Perfeito
37111,Recomendo
37112,SAIU COMBINADO OBRIGADO
37118,muito bom
37120,Muito bom kit suplemento
37122,Produto muito bom resistente Entrega antes prazo
37124,objetivo prático eficaz
37126,produto veio CD instalação quebrado mandar
37133,Recebi produto antes prazo Excelente mercadoria
37139,Chegou muito antes previsto
37140,Pedi vidros l forth cobre forth enxofre Só chegou até agora vidro forth cobre
37141,kkkkkkkkkkkkkk
37145,Solicitei produto veio Já entrei contato central aguardando código reenviar correio
37151,recomendo pessoas excelente
37153,Iria comprar mais voces mais vi quanto mais produtos frete dobra triplica
37154,produto entregue parcialmente falta produto consta status entregue
37155,Boa tarde não recebi pétalas somente adesivo parede faço
37158,Excelente muito útil Muito obrigado
37159,Entrega jato vendedor correto
37164,Gostei entregue prazo acertado
37165,Além produto chegar errado devolução feita cliente tem ir até agência Correios aceite tamanho encomenda Muito trabalhoso Nunca mais
37166,Entrega rápida produtos corretos
37169,Não entendendo avaliação Cadê produto
37170,Preço bom compra fácil
37171,Recebi bem antes prazo
37178,Muito bom
37181,Recomendo
37182,recomendo
37183,Produto chegou prazo problema veio frente capa danificado faltado couro embaixo sinal falam couro não muito ruim Não recomendo loja
37184,produto não chegou até hoje
37187,Recomendo produto ótima qualidade
37189,ok
37191,vez comprei ligaram saber sabor queria vez não tem como escolher ato compra Dessa vez não ligaram mandaram baunilha não tão bom como chocolat
